rank	crate_id	name	downloads
664	525277	document-features	135848133
665	6848	crypto-mac	135681052
666	136011	futures-intrusive	135347135
667	169753	async-recursion	135043249
668	144099	tracing-futures	135024595
669	505734	base64-simd	134509204
670	656850	vsimd	134391115
671	54683	shell-words	134200740
672	3822	serde-value	134086712
673	312419	bytecheck	133983939
674	345136	opentelemetry-http	133983339
675	312418	bytecheck_derive	133981366
676	468175	aws-smithy-json	133938579
677	100782	enum-as-inner	133882496
678	184746	sqlx-core	133863783
679	242430	waker-fn	133643387
680	139518	sqlx	133404867
681	7268	rust_decimal	133198146
682	184745	sqlx-macros	133156492
683	278094	const_format_proc_macros	133053256
684	60829	codespan-reporting	131620171
685	58042	doc-comment	131480508
686	5982	webpki	130896101
687	4595	matrixmultiply	130881592
688	4340	difflib	130520928
689	2112	rmp	130283294
690	2934	crossbeam	130213327
691	800738	android-tzdata	129741621
692	206536	piper	129696294
693	91116	assert-json-diff	129159507
694	57980	debugid	128098092
695	300765	opentelemetry-semantic-conventions	127622004
696	412966	castaway	127574245
697	14874	peeking_take_while	127450455
698	278976	bytemuck_derive	126864480
699	1238282	typeid	126830424
700	2126	maplit	126635224
701	204701	fiat-crypto	126230304
702	8606	rusticata-macros	126183715
703	6638	bytecount	125952516
704	509372	asn1-rs-impl	125847012
705	19270	tokio-io-timeout	125842770
706	9220	remove_dir_all	125763970
707	302117	lz4_flex	125680995
708	136081	glam	125447943
709	259345	weezl	124349915
710	345419	bytes-utils	124216826
711	12260	heapless	123698286
712	7587	rawpointer	123289354
713	204330	fs-err	122731295
714	2910	rmp-serde	121922842
715	1462	threadpool	121884082
716	2255	gif	121058493
717	468145	aws-smithy-types	120881026
718	181221	deadpool	120025214
719	43197	xmlparser	119852246
720	228425	aws-sigv4	119558263
721	1369	void	119532511
722	468153	aws-smithy-async	118829898
723	136298	async-process	118406714
724	468160	aws-types	118325442
725	886	rust-ini	117902462
726	1087761	rustls-platform-verifier	117421312
727	2612	ctrlc	117376851
728	446287	lexical-util	116911848
729	446289	lexical-parse-integer	116854249
730	446293	lexical-parse-float	116844513
731	96187	id-arena	116682117
732	2655	inventory	116604752
733	277761	value-bag	115605282
734	105430	rand_xoshiro	115206252
735	1140682	windows-registry	115188555
736	212951	indenter	115060993
737	468192	aws-smithy-xml	114615224
738	7116	bs58	114544538
739	2251	color_quant	114103419
740	1150346	zlib-rs	113932731
741	616066	primeorder	113514591
742	304119	moka	113445989
743	394691	aws-sdk-sts	113181741
744	477	cesu8	113065435
745	3717	ndarray	112306226
746	468977	aws-config	112035451
747	90201	rstest	111635627
748	186024	wit-parser	111539434
749	116653	infer	111174336
750	435633	tagptr	111123767
751	747453	aws-credential-types	110986601
752	104434	psm	110972435
753	3942	resolv-conf	110590819
754	440378	axum-macros	110492646
755	791222	sqlx-macros-core	110472003
756	487498	http-range-header	110172028
757	184747	sqlx-postgres	109661321
758	278011	password-hash	109653859
759	9751	bigdecimal	109105181
760	112	git2	108991504
761	5869	snap	108663506
762	77	libgit2-sys	108604796
763	5416	rgb	108444794
764	109700	gethostname	107970463
765	468176	aws-smithy-query	107763060
766	7651	fallible-streaming-iterator	107741360
767	3190	Inflector	107740081
768	1879	config	107503773
769	205184	eyre	107308488
770	2555	hdrhistogram	107145841
771	70636	tiff	107035637
772	89540	derive_arbitrary	106959866
773	184750	sqlx-sqlite	106684382
774	4412	zopfli	106676407
775	25715	ron	106609031
776	832119	aws-smithy-runtime-api	106608888
777	184748	sqlx-mysql	106119844
778	79831	smol_str	106018572
779	84153	ntapi	105780392
780	88631	dlv-list	105729284
781	832117	aws-smithy-runtime	105629309
782	471921	deadpool-runtime	105547852
783	587208	rstest_macros	105148106
784	581890	embedded-io	105060452
785	832120	aws-runtime	104980226
786	416	ascii	104718613
787	97308	ordered-multimap	104534757
788	505887	clap_complete	104461082
789	5067	normalize-line-endings	103714828
790	111033	snafu-derive	103389506
791	111034	snafu	103375607
792	446291	lexical-write-float	103295505
793	237794	tracing-appender	103291124
794	239686	multer	103235901
795	446288	lexical-write-integer	103220839
796	315043	signal-hook-mio	102823825
797	247365	async-broadcast	102780116
798	164548	gloo-timers	102359517
799	394527	aws-sdk-sso	102354805
800	5295	integer-encoding	101567742
801	1581853	jiff-static	101513255
802	2984	metrics	100783272
803	80808	seq-macro	100351029
804	3986	widestring	100244354
805	151725	educe	99970501
806	125332	match_cfg	99692393
807	38165	relative-path	99243754
808	111478	enumflags2	99236748
809	111477	enumflags2_derive	99233282
810	101192	unicode-linebreak	98791172
811	484462	objc2	98664592
812	16581	backoff	98302363
813	3342	unicode_categories	97885404
814	10418	cbindgen	97840546
815	1894	bytesize	97599449
816	34443	typed-builder	97586454
817	141916	ttf-parser	97488157
818	990522	leb128fmt	96684014
819	242382	etcetera	96358110
820	8827	tokio-retry	96185553
821	82614	enum-ordinalize	96177032
822	72603	slotmap	95866120
823	583384	zune-jpeg	95808909
824	281477	async-global-executor	95505681
825	2608	stacker	95311623
826	4619	atomic	95300257
827	36395	json-patch	95205868
828	308	rusqlite	95012397
829	8683	markup5ever	94986268
830	29697	openssl-src	94974514
831	309	redis	94893514
832	1159253	wit-bindgen-rt	94715039
833	775747	wasm-metadata	94330036
834	267581	tikv-jemalloc-sys	94231834
835	2395	html5ever	94117382
836	5260	flatbuffers	94067238
837	584222	wit-component	94041323
